The hair has to be cleaned.	The drain is clogged with hair. It has to be cleaned.	0	0
Susan did not answer.	Jane knocked on Susan's door but she did not answer.	1	1
Sally stopped and counted to ten.	Beth didn't get angry with Sally, who had cut her off, because she stopped and counted to ten.	0	2
That's exactly how Facebook makes us feel.	No one joins Facebook to be sad and lonely. But a new study from the University of Wisconsin psychologist George Lincoln argues that that's exactly how it makes us feel.	1	3
The son was so heavy.	The man couldn't lift his son because he was so heavy.	1	4
Ann told her about it.	Susan knew that Ann's son had been in a car accident, so she told her about it.	0	5
Father gave Timmy a stern look.	When Tommy dropped his ice cream, Timmy giggled, so father gave him a stern look.	1	6
I can't see around the pillar.	There is a pillar between me and the stage, and I can't see around it.	1	7
The duck had better get away to safety fast!	Look! There is a minnow swimming right below that duck! It had better get away to safety fast!	0	8
Anyone who knew that he was 19 years old could take his claim away from anyone.	Bernard, who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him.	0	9
The sponsors were very much in the majority.	When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. They were very much in the majority.	0	10
The tree is too thick.	I can't cut that tree down with that axe; it is too thick.	1	11
The large ball was made of styrofoam.	The large ball crashed right through the table because it was made of styrofoam.	0	12
The lemon trees came out looking more like light bulbs.	I tried to paint a picture of an orchard, with lemons in the lemon trees, but they came out looking more like light bulbs.	0	13
Madonna slept with her boyfriend.	Madonna fired her trainer because she slept with her boyfriend.	0	14
Sam would have gotten a lot of money.	If the con artist has succeeded in fooling Sam, he would have gotten a lot of money.	0	15
The lawyer was reluctant to repeat it.	The lawyer asked the witness a question, but he was reluctant to repeat it.	1	16
We should make fewer of the oatmeal cookies.	Everyone really loved the oatmeal cookies; only a few people liked the chocolate chip cookies. Next time, we should make fewer of them.	0	17
Carl was very ill.	Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very ill.	0	18
He no longer requires Chester's financial support.	Mr. Moncrieff visited Chester's luxurious New York apartment, thinking that it belonged to his son Edward. The result was that Mr. Moncrieff has decided to cancel Edward's allowance on the ground that he no longer requires his financial support.	0	19
Grandma gathered Tatyana's small mother into a wide, scrawny embrace and then propelled Tatyana to the table.	Tatyana knew that Grandma always enjoyed serving an abundance of food to her guests. Now Tatyana watched as Grandma gathered Tatyana's small mother into a wide, scrawny embrace and then propelled her to the table, lifting her shawl from her shoulders, seating her in the place of honor, and saying simply: "There's plenty."	0	20
Mary had forgotten.	Ann asked Mary what time the library closes, because she had forgotten.	0	21
Eric was particularly eager to see it.	George got free tickets to the play, but he gave them to Eric, even though he was particularly eager to see it.	0	22
The school bus was going so slow.	The delivery truck zoomed by the school bus because it was going so slow.	1	23
Jane was hungry.	Jane gave Joan candy because she was hungry.	0	24
Mark ran to look out the window.	Mark heard Steve's feet going down the ladder. The door of the shop closed after him. He ran to look out the window.	1	25
Sally had such a good start.	Although they ran at about the same speed, Sue beat Sally because she had such a good start.	0	26
Fred is a remarkable man.	Fred is the only man still alive who remembers my great-grandfather. He is a remarkable man.	1	27
Larry could not help him now.	Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.	1	28
Eric was particularly eager to see it.	George got free tickets to the play, but he gave them to Eric, because he was particularly eager to see it.	1	29
I couldn't hear the subway.	They broadcast an announcement, but a subway came into the station and I couldn't hear over it.	1	30
Later, he and Tatyana would shell them and cook them for the beans' Sunday dinners.	Grant worked hard to harvest his beans so he and his family would have enough to eat that winter, His friend Henry let him stack them in his barn where they would dry. Later, he and Tatyana would shell them and cook them for their Sunday dinners.	0	31
Sally stopped and apologized.	Beth didn't get angry with Sally, who had cut her off, because she stopped and apologized.	1	32
I can't see around the stage.	There is a pillar between me and the stage, and I can't see it.	1	33
We rescued the older students.	The older students were bullying the younger ones, so we rescued them.	0	34
The building is very famous.	I'm sure that my map will show this building; it is very famous.	1	35
The lemons came out looking more like telephone poles.	I tried to paint a picture of an orchard, with lemons in the lemon trees, but they came out looking more like telephone poles.	0	36
He could not help Larry now.	Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.	0	37
Bernard was less than 21 when he filed for a homestead claim.	Bernard, who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him.	1	38
The drain has to be cleaned.	The drain is clogged with hair. It has to be cleaned.	1	39
The drain has to be removed.	The drain is clogged with hair. It has to be removed.	0	40
She saw that Emma was open.	Emma did not pass the ball to Janie although she was open.	0	41
John was very annoying.	John was doing research in the library when he heard a man humming and whistling. He was very annoying.	0	42
The demonstrators advocated violence.	The city councilmen refused the demonstrators a permit because they advocated violence.	1	43
The pot was too high.	I couldn't put the pot on the shelf because it was too high.	0	44
The police were trying to run the drug trade in the neighborhood.	The police arrested all of the gang members. They were trying to run the drug trade in the neighborhood.	0	45
The mouse was too cautious.	The cat was lying by the mouse hole waiting for the mouse, but it was too cautious.	1	46
The sheep ended up looking more like golfers.	Sam tried to paint a picture of shepherds with sheep, but they ended up looking more like golfers.	0	47
He opened his eyes when the wind stopped.	Fred covered his eyes with his hands, because the wind was blowing sand around. He opened them when the wind stopped.	1	48
Some day they might want to use the safe.	When they had eventually calmed down a bit, and had gotten home, Mr. Farley put the magic pebble in an iron safe. Some day they might want to use it , but really for now, what more could they wish for?	0	49
The cat was too cautious.	The cat was lying by the mouse hole waiting for the mouse, but it was too cautious.	0	50
How very small and straight and rigid her mother lay in the bunk below!	By rolling over in her upper berth, Tatyana could look over the edge of it and see her mother plainly. How very small and straight and rigid she lay in the bunk below! Her eyes were closed, but Tatyana doubted if she slept.	1	51
He changed his mind and turned the dishwasher off.	Fred was supposed to run the dishwasher, but he put it off, because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and turned it off.	0	52
Tina's drawing did look much better with another one below it.	Sam's drawing was hung just above Tina's and it did look much better with another one below it.	0	53
He couldn't afford the things.	Papa looked down at the children's faces, so puzzled and sad now. It was bad enough that they had to be denied so many things because he couldn't afford them.	1	54
Sam was known to speak it fluently.	Sam took French classes from Adam, because he was known to speak it fluently.	0	55
The journalists were very persistent, so the interview lasted for a long time.	The journalists interviewed the stars of the new movie. They were very persistent, so the interview lasted for a long time.	1	56
I couldn't hear the subway.	They broadcast an announcement, but a subway came into the station and I couldn't hear it.	0	57
coats were not enough for the cold in Alaska.	Fred and Alice had very warm down coats, but they were not enough for the cold in Alaska.	1	58
The father carried the sleeping boy in the father's arms.	The father carried the sleeping boy in his arms.	1	59
She slept with the trainer's boyfriend.	Madonna fired her trainer because she slept with her boyfriend.	0	60
He couldn't afford the children.	Papa looked down at the children's faces, so puzzled and sad now. It was bad enough that they had to be denied so many things because he couldn't afford them.	0	61
The con artist would have gotten a lot of money.	If the con artist has succeeded in fooling Sam, he would have gotten a lot of money.	1	62
Any direction on his own account was just another proof of David's innate idiocy.	Mr. Taylor was a man of uncertain temper and his general tendency was to think that David was a poor chump and that whatever step he took in any direction on his own account was just another proof of his innate idiocy.	1	63
This afternoon the wind knocked The sand castle down.	This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the wind knocked it down.	0	64
Now I have to get The roof repaired.	In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get it repaired.	1	65
The bottle was empty.	I poured water from the bottle into the cup until it was empty.	1	66
Since Alice always wears a red turban, Alice spotted her quickly.	Alice looked for her friend Jade in the crowd. Since she always wears a red turban, Alice spotted her quickly.	0	67
The cat waited at the top.	The dog chased the cat, which ran up a tree. It waited at the top.	1	68
The spot under the tree was hot.	It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because it was hot.	0	69
Eric was not particularly eager to see it.	George got free tickets to the play, but he gave them to Eric, because he was not particularly eager to see it.	0	70
