id,question,choices,answerKey
1,Why can a small fire be put out by placing a heavy blanket over it?,1,C
2,DNA molecules contain the genetic information that determines the characteristics of a living organism. How do DNA molecules express the genetic information they contain?,2,D
3,"A student poured some sugar into a glass of water. After the water was stirred, no solid sugar remained in the glass. Which statement best describes what happened?",3,B
4,Which of the following actions is most likely part of a test to find the hardness of a mineral sample?,4,A
5,"In the lab, students are working with substances that could cause burns. Which of these safety precautions is most important to follow?",5,D
6,Which is an example of a single-celled organism?,6,A
7,Which best describes why winds at the beach change direction between day and night?,7,D
8,Growing thicker fur in the winter helps some animals to,8,D
9,What is one way that humans can maintain good health?,9,C
10,"Mold is often found growing on old bread. In a food chain, mold is a ___.",10,B
11,What is the role of chlorophyll in photosynthesis?,11,A
12,Kate sees a full moon. About how much time will go by before the next full moon?,12,B
13,Which combination of letters could be used as a chemical symbol for an element?,13,A
14,Which group of organisms can show significant trait changes in the shortest period of time?,14,A
15,Which group of organisms can show significant trait changes in the shortest period of time?,15,D
16,"A condition in bees called ""colony collapse disorder"" occurs when worker bees leave the hive to collect nectar and never return. How would a decline in the bee population most likely affect a farm ecosystem?",16,A
17,"In a mixture, a magnet is used to separate some particles from sand. The dark particles are most likely made of which element?",17,D
18,Mosquitoes have adapted to detect carbon dioxide using certain sensory nerves. Mosquitoes instinctually move toward greater concentrations of carbon dioxide. What is the importance of this adaptation?,18,C
19,Which species have been on the Earth for the shortest amount of time?,19,D
20,An atom will always have,20,D
21,Which word best describes the speed of a cart that has a positive velocity and a negative acceleration?,21,B
22,Students measure the time for toy cars of different masses to roll down a hill. Which of the following units should the students use to measure time?,22,A
23,A particular organism is able to survive in an environment due to a thick layer of fat beneath its skin. In which situation would the layer of fat most likely be a survival advantage?,23,B
24,Which characteristic is common to all reptile species?,24,D
25,Protein is used by the human body to,25,D
26,Which of the following forms of energy is released or absorbed in most chemical reactions?,26,B
27,Where is most of the mass of the atom located?,27,B
28,Which of these cell parts contain instructions for the passage of traits from one generation to the next?,28,B
29,Rocks and Earth and on the Moon are made of similar materials. What does this observation most likely suggest?,29,B
30,What product was being formed as plants died and sank to the bottom of swamps?,30,B
31,Which best describes why winds at the beach change direction between day and night?,31,A
32,A cat jumps when startled by a loud noise. This is an example of an organism,32,D
33,The surface of Earth is covered by a relatively thin layer of water called the,33,B
34,Pumice is formed when lava from a volcano cools. Which rock type is pumice?,34,B
35,Which structure surrounds and protects an animal cell?,35,C
36,Which most accurately describes a circle (pie) graph?,36,A
37,Which interaction within an ecosystem is characterized by gradual change from one community of organisms to another?,37,A
38,Which of the following heat exchange processes involves the collision of particles?,38,B
39,Reptiles become more active as the day gets warmer. This is because,39,A
40,Helen is preparing a presentation about objects in the solar system. She includes facts about the order of the planets and their distances from the Sun. Which statement could she include in an accurate presentation?,40,C
41,A lunar eclipse occurs when the Moon passes through Earth's shadow. A lunar eclipse can only occur during a,41,A
