Which technology was developed most recently?	MCAS_2000_4_6	A
A student hypothesizes that algae are producers. Which question will best help the student determine if this is correct?	Mercury_7057260	C
Soccer players use their muscle systems to kick a ball into a goal. What organ system coordinates the muscles?	ACTAAP_2014_7_6	A
Planets in the solar system are in constant motion. What factor has the greatest effect on the orbits of the planets?	Mercury_7122448	B
How is a pond different from a lake?	Mercury_SC_416516	B
A substance with a mass of 10 g is heated to produce two new substances. The mass of the first new substance is 9.3 g and the mass of the second new substance is 0.7 g. Which of the following is best demonstrated by this example?	MCAS_2016_8_3	C
The cilia in the respiratory system are responsible for preventing dirt and mucus from entering the bronchial tubes and lungs. If the cilia are damaged, the person's bronchial tubes and lungs are most likely to	Mercury_7030153	C
Which two traits would best distinguish a bird from other vertebrates?	AKDE&ED_2012_8_43	C
A green plant absorbs light. A frog eats flies. These are both examples of how organisms	NYSEDREGENTS_2014_8_10	1
Which of these scientific advances occurred first?	Mercury_SC_LBS10938	D
Which instrument measures atmospheric pressure?	ACTAAP_2007_7_19	A
Which of the following is produced during the process of cellular respiration?	Mercury_176873	A
An anemometer is a tool that measures	Mercury_SC_LBS10170	B
The element cesium, Cs, is an alkali metal. Which chemical formula represents a cesium compound that is likely to exist?	Mercury_400978	A
The cells of a plant help the plant maintain its life functions. What part of a plant cell has the function of producing sugar in the presence of sunlight?	Mercury_7185220	A
A sample of sulfur forms crystals when it	Mercury_7213378	B
When a person is infected with the influenza virus, the immune system defends the body through a cell-mediated immune response. Which immune cell is responsible for protecting the body from the influenza virus infection?	Mercury_7241343	D
Which form of solar radiation causes sunburn?	TIMSS_1995_8_J5	B
About 75% of the world's active volcanoes are the result of tectonic activity around which plate?	Mercury_7271583	C
Which of the following is the most accurate measurement for the length of an object that is actually 15.0 m long?	Mercury_412415	B
After a rainfall, which process in the water cycle draws the water back up into the air?	Mercury_SC_400175	B
When a person speaks, the type of wave produced can be described as all these except	Mercury_7006213	A
