answer,question
"[""Jose Garces""]",who is bradley cooper playing in a star is born
"[""New York Yankees""]",who introduced the concept of reinforcement into behaviorism
"[""1974""]",who appointed colonial governors in british north america
"[""E. M. Forster""]",when was uncle toms cabin published in book form
"[""Dylan""]",who sings the theme song for the tv show monk
"[""1982""]",who played susan in the chronicles of narnia
"[""1792""]",who provided evidence to suggest the existence of the neutron
"[""2015""]",when did north korea start competing in the winter olympics
"[""Monasteries"",""wealthy individuals"",""rulers""]",top 10 highest grossing movies of all time
"[""7""]",how far is medford ma from boston ma
"[""December 2003""]",when was the neutrality act of 1937 passed
"[""Charles Young""]",what type of economic system does thailand have
"[""John O'Banion""]",who sang the original version of stairway to heaven
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",how many sports are there in the 2018 commonwealth games
"[""St. Louis Cardinals"",""San Francisco Giants""]",when did youtube red change to youtube premium
"[""Spanish""]",how many 4-year colleges and universities in the u.s
"[""35""]",when did game of thrones season 7 come out on dvd
"[""13""]",when did cuba play in the world cup
"[""1988""]",how long is a round in ufc fight
"[""originally from the Greek""]",when is season 6 of counting on coming out
"[""August 27, 2017""]",law and order actress married to football player
"[""Shirley Mae Jones""]",what is the old english meaning of lent
"[""a maroon Bristol 405""]",where does alex from modern family go to college
"[""1967""]",what is the name of the castle in disneyland
"[""South Side, Chicago""]",when did the first mobile game come out
"[""December 15, 2017""]",what is the most common form of democratic government
"[""San Antonio""]",who plays the joker off of suicide squad
"[""Jimmy Cliff""]",when did maryland make anglicanism it's established religion
"[""1890""]",who plays ducky's assistant casey on ncis
"[""1984""]",who won the most medals in 1936 olympics
"[""ice caps""]",who sings the song at the end of finding nemo
"[""the Cambrian explosion""]",what was america called after the revolutionary war
"[""1890""]",which pm of pakistan had the shortest tenure
"[""1939""]",when does orange is the new black start filming
"[""West Indies""]",who wrote the hymn i need thee every hour
"[""in 2018""]",when did the first disney incredibles come out
"[""those that have died""]",where does the p.s. go in a letter
"[""those that have died""]",where are the world athletic championships being held
"[""Ireland""]",who is the number one most followed on instagram
"[""2018""]",what episode do eddie and patricia get back together
"[""the Ivrea Codex"",""the Apt Codex""]",what's the average annual income in the us
"[""1984""]",who is jorah mormont father on game of thrones
"[""1980""]",last president that was not a democrat or republican
"[""Calcium ions""]",trains from kings cross to central station sydney
"[""March 25, 2011""]",when was the last steam train used in uk
"[""122""]",the fundamental duties of an india citizen are contained in
"[""originally from the Greek""]",who fought to gain civil rights for minorities in texas
"[""Barry Biggs"",""Yorkville Grind"",""Blue Magic"",""Beady Eye""]",where did australia come in the world cup
"[""China""]",name of ship that brought pilgrims to america
"[""Venus""]",what native american tribe lived in the grand canyon
"[""Pom Klementieff""]",how much did 300 make at the box office
"[""in 2018""]",where did the white sand in destin come from
"[""2017""]",who sings the theme song for true blood
"[""Shirley Mae Jones""]",who won the battle of the thousand islands
"[""13""]",who has scored a hatrick for 3 different clubs
"[""Spanish""]",what episode of sam and cat is freddie in
"[""Saleisha Stowers""]",when was the this is it tour supposed to start
