sentence,label,idx
"Clearly, John probably will immediately learn French perfectly.",1,163
I noticed the.,0,617
Mickey looked up it.,1,934
He can will go,0,997
What did Bill buy?,1,205
The car was driven by John to Maine.,1,260
There is a nurse available.,1,734
John thinks that Mary loves himself.,1,200
The problem perceives easily.,1,390
I wonder to whom they dedicated the building.,1,358
Emma and Harriet were attacked yesterday.,1,527
John counted on Bill to get there on time.,1,545
"I will see them, but I don't know how many of them.",1,875
"They love to play golf, but I do not.",1,329
There loved Sandy.,1,90
I bought Bill a book to read.,1,360
to steal talismans from witches is dangerous,1,56
I might be not going to the party but washing my hair,0,905
"He announced he would marry the woman he loved most, but none of his relatives could figure out who.",1,149
Bill ate more peaches than Harry did grapes.,1,270
Ann may spend her vacation in Italy.,1,433
John's drum will always bother me.,1,418
Who do you think Tom saw?,1,38
We like ourselves.,0,956
"You may pick every flower, but leave a few for Mary.",1,889
The cat got bitten.,0,855
I bought three quarts of wine and two of Clorox.,1,56
John has a fear of dogs.,1,682
Susan frightens her.,1,994
The bears sniffed,1,647
The administration has issued a statement that it is willing to meet with one of the student groups.,1,374
"You may pick every flower, but leave a few for Mary.",0,904
We gave us presents.,1,321
Penny skated around the rink.,0,1025
"Any tiger has orange fur, marked with black stripes.",0,750
The book what inspired them was very long.,1,704
"Chris walks, Pat eats broccoli, and Sandy plays squash.",1,67
They should pen the letter quickly.,0,758
He can not have been working.,1,324
Carla slid at the book.,0,93
What the water did to the bottle was fill it.,1,508
Leslie slept.,1,30
Us like them.,0,129
Lou forgot the umbrella.,1,251
I wonder in whom them to place their trust.,1,131
In which way is Clinton anxious to find out which budget dilemmas Panetta would be willing to solve?,0,101
Bill ate more peaches than Harry did grapes.,0,852
The witch poisoned the children.,1,506
John is afraid of Bill.,1,32
Mary came to be introduced by the bartender and I also came to be.,1,810
The problem we are discussing is George.,1,420
John lay the ball in the box.,1,798
Lee saw the student with a telescope.,0,820
Linda winked her lip.,1,707
This girl in the red coat will put a picture of Bill in the mailbox and on your desk before tomorrow.,1,518
The candidates bring advantage to the voters.,1,727
Who did they see someone?,1,651
This flyer and that flyer differ.,0,275
Under the bed seems to be a fun place to hide.,0,165
We gave ourselves presents.,1,732
Sarah smiled a charming smile.,1,846
The only person whose kids Dana is willing to put up with is Pat.,1,784
John has not kissed Mary.,0,9
Susan whispered at Rachel.,0,927
That is the reason why he resigned.,1,185
I thought he liked myself,1,515
The book that crime was declining surprised many people.,0,169
Was sunk.,1,601
Carla shoveled the walk.,0,105
This is the senator to whose mother's friend's sister's I sent the letter.,0,874
The defendant deny the allegation.,0,135
They praised the dedication in the volunteers.,1,924
"Mary asked me if, in St. Louis, John could rent a house cheap.",1,1016
Max is on the phone now.,1,896
Mike talked about politics yesterday to my friends.,1,338
I was already aware of fact.,0,594
The tub leaked water.,0,752
I noticed the.,0,224
This flyer and that flyer differ.,1,980
Students studying English reads Conrad's Heart of Darkness while at university.,1,245
"Hopefully, we'll make it through the winter without snow.",1,770
"As a teacher, you have to deal simultaneously with the administration's pressure on you to succeed, and the children's to be a nice guy.",1,294
I shaved myself.,0,885
These stockings will run.,1,983
"Which boy's, mother, did you meet who you liked?",1,872
"Most elections are quickly forgotten, but the election of 2000, everyone will remember for a long time.",0,392
It would be unwise for there to be no fire exit.,1,806
Somebody apparently struck the unidentified victim during the early morning hours.,1,161
John is tall on several occasions.,1,892
the attempt by John to leave surprised me.,1,701
Frances hid the presents in the drawer.,1,378
I bought it to give to Pete.,1,369
The magazines were sent by Mary to herself.,1,148
Kick you!,0,463
I forgot how good beer tastes.,1,1035
We think that Leslie likes us.,1,291
The witch poisoned the children.,1,269
The children admire their mother.,1,660
We celebrated in the streets in the rain on Tuesday in the morning.,0,535
The children amused.,0,911
Whose bagels do you like?,1,400
Anson believed himself to be handsome.,1,540
The box contained the ball from the tree.,1,635
Some people yell at the dogs.,1,1013
TV puts dumb ideas.,1,358
Heidi likes her violin.,1,584
"Only Churchill remembered Churchill giving the Blood, Sweat and Tears speech.",1,3
It has been determined that somebody will be appointed; it's just not clear yet who.,1,431
the one with a red cover takes a very long time to read.,1,492
"Mary likes to tour art galleries, but Bill hates to.",0,272
I shaved myself.,1,431
Carla slid at the book.,0,120
Michelle kept the desk with the papers.,1,715
Emma made Harriet some food.,1,160
"You may pick every flower, but leave a few for Mary.",1,1014
"Bob tried to wash himself, and Mary to read the funnies.",1,438
I live at the place where Route 150 crosses the Hudson River and my dad lives at it too.,1,832
That acorn will grow into an oak tree.,1,142
Emma and Harriet were attacked yesterday.,0,435
John finished the cake and drank the lemonade.,1,821
Susan told a story to her.,1,5
"Bill ate the peaches, and Harry did, too.",1,651
The children amused.,0,38
"I know that Meg's attracted to Harry, but they don't know who.",1,673
John's mother likes himself.,1,781
Jack hates Sue and is loved by Mary.,0,23
The book what inspired them was very long.,1,573
"Arizona elected Goldwater Senator, and Massachusetts, McCormack.",0,355
Carla slid at the book.,0,975
John can kick the ball.,1,1018
The book surprised many people.,1,904
"Sally is tall, and may be blond, and Sheila is short, and definitely is, blond.",0,947
This flyer and that flyer differ.,0,756
"Each student wrote a paper on a Mayan language, but I don't remember which one.",1,1029
John was spoken to by Mary.,0,904
My heart is pounding me.,0,984
Something happened I couldn't really talk about.,1,249
It has been determined that somebody will be appointed; it's just not clear yet who.,0,305
A felon was elected to the city council.,1,237
"Sandy is very anxious to see if the students will be able to solve the homework problem in a particular way, but she won't tell us in which way.",1,1012
A chair was broken.,1,579
Dumb ideas are put in children's heads.,1,95
"Most elections are quickly forgotten, but the election of 2000, everyone will remember for a long time.",1,419
Paperback books lift onto the table easily.,1,513
We need to pen the pigs to keep them from getting into the corn.,1,90
The teacher handed the student.,1,760
She said she talked to those students but I don't know how many.,1,103
It did not rain.,0,37
The chickens seem fond of the farmer.,0,821
Which house does your friend live?,0,232
John bought a dog for himself to play with.,1,27
Mira condemned Terry for the accident.,0,894
"Any tiger has orange fur, marked with black stripes.",1,640
They preferred them arrested.,1,917
Sally kissed himself.,1,52
The correspondence school made Bill a good typist.,1,245
People are looking through the window.,1,326
We gave presents to ourselves.,1,270
John promise Mary to shave himself.,1,435
the putter of books left.,1,513
The book is boring.,1,372
Wind was gotten of a plot to negotiate an honorable end to the war in Vietnam.,1,122
John told Mary that it would be important to leave early.,0,183
I live at the place where Route 150 crosses the Hudson River and my dad lives at it too.,1,104
The correspondence school made Bill a good typist.,0,537
"John likes some students, but I don't know who John likes some students.",1,58
"Harry told Sue that Albania is a lovely place for a vacation, and Tom.",0,180
Carrie touched that cat.,1,4
"Which book's, author did you meet?",0,30
Sam gave the ball out of the basket.,1,753
My heart is pounding me.,0,862
We need another run to win.,0,397
It was to to amuse us that Kim was singing that they wanted.,1,342
They yelled.,1,45
"She mailed John a letter, but I don't know to whom.",1,876
A magazine about crime appeared on the newsstands.,0,592
The book that crime was declining surprised many people.,0,81
I've lost my wallet or I've lost my mind.,1,224
Gould's performance of Bach on the piano doesn't please me anywhere as much as Ross's on the harpsichord.,0,726
There is a nurse available.,0,324
I ate a salad that was filled with lima beans.,0,468
Which boy's did we elect guardian's employer president?,0,731
"Sandy is very anxious to see if the students will be able to solve the homework problem in a particular way, but she won't tell us which.",1,494
I gave Pete the book to impress.,1,1014
How many feature structures categories can label the first daughter?,1,625
The car was driven.,1,752
John loaded the wagon with hay green.,1,859
"If the ants were called elephants and elephants ants, I'd be able to squash an elephant.",1,556
The police sprayed the protesters with water.,1,103
The book is boring.,1,274
Fanny regretted having to talk to Aunt Norris.,0,93
John believed it that Bill was tardy.,0,910
Agamemnon seems to be a maniac,1,68
Carmen bought Mary a dress.,1,1009
It is a problem that he is here.,0,470
How fierce the battle?,0,670
Vera sent a baby alligator to Max and a leather dinosaur to Phyllis.,1,299
John believes it sincerely that Bill is here.,1,725
"Bill didn't eat the peaches, nor Harry.",0,246
Sharon fainted from hunger.,1,768
Ourselves like ourselves.,1,866
"I like Bill's yellow shirt, but not Max's.",0,890
I wondered who Medea had poisoned.,1,92
Some people yell at noisy dogs in my neighborhood.,1,983
It bothers me that John coughs.,0,817
They should pen the letter quickly.,1,724
Dana walking and Leslie ran.,0,114
That banana is eating the monkey.,1,382
The book which inspired them was very long.,1,969
Sharon fainted from hunger.,1,864
Sarah smiled a charming smile.,1,478
Mary was respected by John.,0,100
"Each student wrote a paper on a Mayan language, but I don't remember which one.",1,270
John regards Bill as a good friend.,1,885
They were taking a hard look at possible FTA.,1,478
The dogs barked.,1,1034
That John is reluctant seems.,1,546
Ellen said about the present conditions.,1,913
They realised that never had Sir Thomas been so offended.,1,867
Sophie will theater.,1,1
I'm sure I would like him to eat fruit more than I would cookies.,0,258
My mother is easy to please my father and.,0,741
They make good cooks.,1,1040
They kicked them,1,289
This dye will run.,1,771
Students studying English reads Conrad's Heart of Darkness while at university.,1,421
Some people yell at the dogs.,1,870
She's been dancing but we don't know with whom.,1,67
The defendants denies the allegation.,1,42
They make good cooks.,0,13
"That the fuzz wanted him worried John, but that the fuzz wanted her didn't worry Mary.",0,30
The idea dismayed the Prime Minister that the Dome was dull.,1,66
The tube was escaped by gas.,1,434
"No writer, nor any playwright, meets in Vienna.",0,483
We persuaded Mary to leave and Sue to stay.,0,497
Carla slid at the book.,0,60
That Chris knew the answer occurred to Pat.,0,693
Kim depends for Sandy.,1,350
Mary beautifully plays the violin.,1,773
Sam gave the ball out of the basket.,1,332
We elected me.,1,733
John tried to please Stephen.,1,605
John made Bill mad at himself.,1,528
A hundred men surrounded the fort.,0,283
The book surprised many people.,1,858
"Any albino tiger has orange fur, marked with black stripes.",1,220
We like ourselves.,0,850
Will he can do it?,1,898
We gave ourselves presents.,1,520
Susan frightens her.,1,556
Mary wonders that Bill will come.,0,883
"Which book's, author did you meet who you liked?",1,1022
We admired the pictures of ourselves in the album.,0,715
"Sandy is very anxious to see if the students will be able to solve the homework problem in a particular way, but she won't tell us which.",1,421
John's arriving dead surprised me.,0,404
"With my parents as supportive as they are, I'll be in fine shape.",1,799
In which way is Clinton anxious to find out which budget dilemmas Panetta would be willing to solve?,1,399
"Bill's story about Sue may be amazing, but Max's is virtually incredible.",1,642
"Because Steve's of a spider's eye had been stolen, I borrowed Fred's diagram of a snake's fang.",1,883
Fiona might be here by 5 o'clock.,1,555
Who does John visit Sally because he likes?,1,762
The building's the roof is leaking.,1,829
These cars drive easily.,1,666
Pat is hate Chris.,1,221
I'm sure we even got these tickets!,1,604
The madrigals which Henry plays the lute and sings sound lousy.,0,620
Tabs are kept on suspected drug dealers by the FBI.,0,101
"She was bathing, but I couldn't make out who.",1,350
Who did you get an accurate description of?,1,483
The fort fluttered with many flags.,1,875
Gould's performance of Bach on the piano doesn't please me anywhere as much as Ross's on the harpsichord.,0,959
That surprised me.,1,875
It's not because I have any sympathy for urban guerillas that I helped him.,1,605
Any trouble is what I don't want.,1,498
John felt it that Bill was tardy.,0,919
The car was driven.,1,224
They chased the man with the car.,1,962
Which house does your friend live?,1,902
John thinks that Mary loves himself.,1,823
A hundred men surrounded the fort.,1,542
Some people consider the dogs in my neighborhood dangerous.,1,625
There is a programme about Euripides on a Radio 4 tonight?,0,520
What did Bill buy?,1,673
I don't know if I should agree.,0,625
"I like Bill's yellow shirt, but not Max's.",1,54
I like the book which you gave me.,1,961
Us like them.,1,865
I wonder what to be a clown on the cover of.,1,657
Tom said he would and Bill actually did eat a raw eggplant.,1,610
Came right in he did without so much as a knock.,1,47
Mary revealed himself to John.,0,132
That the Cardinal won the game gave Sandy a thrill.,1,267
We need another run to win.,0,244
"I know that Meg's attracted to Harry, but they don't know who.",1,74
Janet broke Bill on the finger.,0,444
They want them arrested.,1,162
This violin is difficult to play sonatas on.,1,859
Jean is reluctant to dance.,1,444
I might be not going to the party but washing my hair,1,317
Martha carved the baby a toy out of wood.,1,281
Some of them made as many errors as 20.,1,937
"Sam doesn't play bassoon, nor Medusa oboe.",0,258
They lost themselves' books.,1,799
Did Athena help us?,0,727
Which house does your friend live?,1,682
Ann bought a first edition of Richard III for $1000.,1,256
"John wants to read Fred's story, and I also want to.",0,704
I live at the place where Route 150 crosses the River and my dad lives at the place where Route 150 crosses the Hudson River too.,1,721
The storm arrived while we ate lunch.,0,602
"Most people probably consider, even though the courts didn't actually find, Klaus guilty of murder.",0,806
The children are happy of ice cream.,1,759
Wind was gotten of a plot to negotiate an honorable end to the war in Vietnam.,1,718
John ate dinner but I don't know who.,1,513
Was sunk.,1,69
Lou put the umbrella in the closet.,1,646
I'm creating a committee. Kim – you're in charge.,1,202
Sarah smiled a charming smile.,1,274
Something happened I couldn't really talk about.,1,505
List associates of each defendant who speaks Spanish.,0,708
The boat seen down the river sank.,1,545
It is the problem that he is here.,1,280
Nobody told Susan.,0,902
"Several firefighters were injured, but it's not known.",1,521
What did you ask who saw?,1,55
John offers many advice.,1,713
Sharon came the room.,1,232
John became rich.,0,826
I inquired when could we leave.,1,320
It was believed by the students that they would have an exam.,1,714
"You may pick every flower, but leave a few for Mary.",1,692
Everyone hoped that she would sing.,1,190
"John likes some students, but I don't know who.",1,193
The cat was bitten the mouse.,0,309
"The ship sank, but I don't know with what.",0,26
You kicked yourselves,1,617
This is the senator to whose mother's friend's sister's I sent the letter.,1,145
The jury believed the defendant lied.,1,32
A hundred men surrounded the fort.,1,920
The only person that I like whose kids Dana is willing to put up with is Pat.,1,125
many information was provided.,1,241
Cohen proved the independence of the continuum hypothesis.,1,371
An evil thought struck Dave.,1,274
"Dave, Dan, Erin, Jaime, and Alina left.",0,150
We gave us to the cause.,1,889
The bird sings.,1,747
I presented Bill with it to read.,1,615
The defendants denies the allegation.,1,591
"Sandy was trying to work out which students would be able to solve a certain problem, but she wouldn't tell us which one.",0,92
Frances hid the presents in the drawer.,1,758
"As a statesman, scarcely could he do anything worth mentioning.",0,854
"If Sam was going, Sally would know where.",1,785
John made Bill master of himself.,1,417
They knew that pictures of each other would be on sale.,1,641
"Bill wondered how many papers Sandy had read, but he didn't care which ones.",1,650
It is a problem that he is here.,1,754
Ted was bitten by the spider.,0,312
They talk to themselves.,1,754
"This is the book which Bob reviewed, and this is the one which Fred won't do it.",1,181
Mary thinks that she is smart.,0,560
Lou forgot the umbrella.,1,1017
"Sandy is wondering whether there will be students who have to drop the class for a certain reason, but she won't reveal what.",1,499
Gilgamesh is having fought the dragon.,1,133
Bother you that Kim left!,1,651
That Sandy had lied suggested.,0,362
John regretted it that Bill had a good time.,1,767
the baker from whom I bought these bagels left.,1,34
I sent the package halfway around the world.,1,741
"John was tall, but I don't know on what occasions.",1,579
It is obvious that Pat is lying.,1,884
Carrie touched that cat.,1,689
Few dog barked.,0,770
"Bob tried to wash himself, and Mary to read the funnies.",0,493
Leslie likes ourselves.,1,586
I wonder whom us to trust.,0,782
The bird sing.,1,299
John felt it that Bill was tardy.,1,352
I'll work on it if Sam will be working on it.,1,229
You will believe Bob.,1,377
Nobody saw Pat.,0,605
The evidence assembled by the prosecution convinced the jury.,1,261
The mayor regarded as being absurd the proposal to build a sidewalk from Dartmouth to Smith.,1,992
"Bill's story about Sue may be amazing, but Max's is virtually incredible.",1,888
John left orders not to be disturbed.,1,101
"Which boy's, mother, did you meet who you liked?",0,473
John promise Mary to shave himself.,1,707
The storm arrived after the picnic.,0,66
John is tall on several occasions.,0,608
There was a felon elected to the city council.,1,851
Linda winked her lip.,1,558
Who always drinks milk?,0,291
I thought he liked myself,1,573
The guests dined.,1,258
I noticed the.,0,227
The books lifted onto the table.,1,682
We gave us presents.,1,168
Medea denied poisoning the phoenix.,0,367
Did the child be in the school?,0,137
This week will be a difficult one for us.,1,502
John considers Bill silly.,0,336
"She doesn't meet anyone for dinner, but they can't figure out who.",1,194
He can not have been working.,1,107
The fort fluttered with many flags.,1,891
John promised Bill to leave.,1,323
The car was driven by John to Maine.,1,151
That surprised me.,1,567
It is painting by Klee or drawing by Miro that the museum displays no.,1,392
Newsweek about crime appeared on the newsstands.,1,237
Visiting relatives can be boring.,0,700
"Sandy was trying to work out which students would be able to solve a certain problem, but she wouldn't tell us which one.",1,650
"Fluffy is sick, which not everybody knows.",1,191
I kicked myself,1,823
John placed Kim behind the garage.,0,898
"Sandy is very anxious to see if the students will be able to solve the homework problem in a particular way, but she won't tell us which.",1,408
Heidi likes her violin.,0,987
I felt that I know you.,0,868
"The TA's have been arguing about whether some student or other should pass, but I can't now remember which one.",1,71
The tank leaked the fluid free.,1,67
Mickey looked up it.,1,79
TV puts dumb ideas in children's heads.,1,144
Lora buttered at the toast.,1,196
His or her least known work.,1,908
The problem we are discussing is George.,0,68
Jason happens to appear to seem to be sick.,1,147
Colin asked if they could get a mortgage.,0,427
I saw even the student.,1,928
John is eager.,1,1000
I hit that you knew the answer.,1,318
Which house does your friend live?,1,910
That Sam sometimes didn't sleep must have pleased somebody.,0,281
Sally kissed himself.,1,906
I dislike the people in who we placed our trust.,0,861
I wonder who for us to trust.,1,55
It was from six to nine or it took place from six to nine.,0,960
The book that I like which everyone else in the class hates was written by John.,0,450
Birds sings.,1,264
It is not true that I might be going to the party.,1,176
"The younger woman might have been tall and, and the older one definitely was, blond.",1,683
Fred talked about everything before Rusty did talk about something.,0,829
Did Athena help us?,1,1000
All who lost money in the scam are eligible for the program.,0,382
"Any albino tiger has orange fur, marked with black stripes.",0,895
John whispered Mary left.,1,728
Everyone who knows either Susan or Laura likes her.,1,749
We celebrated in the streets.,1,201
John was spoken by Mary to.,1,76
The manager laughed.,1,917
The teacher disappeared the problem.,1,967
I know you like the back of my hand.,0,2
I sensed his eagerness.,1,332
The magazines were sent by Mary to herself.,0,1000
The teacher became angry with the students.,1,416
Himself is understood by Rutherford.,0,1015
The teacher became angry with the students.,0,915
We relied above Leslie.,0,490
The butler sent the poison to Dinah.,0,533
Burn them!,1,999
Agamemnon seems to be a maniac,1,494
Sentences some go on and on and on and on.,1,866
"You may pick every flower, but leave a few for Mary.",1,800
The children are fond with the ice cream.,1,1028
I am counting on Bill to incriminate himself.,0,986
the attempt by John to leave surprised me.,1,43
John left singing.,0,13
John was seen the book.,1,130
Neither Von Karajan's recording of Beethoven's 6th on Columbia nor Klemperer's on Angel has the right tempo.,0,82
They want them arrested.,1,211
"If Sam was going, Sally would know where.",1,958
This dogs barked.,0,1030
"I know which book Mag read, and which book Bob read my report that you hadn't.",1,421
Mary intended John to go abroad.,0,149
It was to John that I gave the book.,1,272
I no more could have stolen that steak than Jack the diamonds.,1,789
many information was provided.,1,791
