sentence1,sentence2,label,idx
Bombings kill 9 people in Iraqi capital,"I'm no herpetologist, but in my experience, snakes are in the ""you don't bug me, I won't bug you"" category.",4.750904236358604,544
He claims it may seem unrealistic only because little effort has been devoted to the concept.,"Additionally often people will think a downhill marathon is easier, but in fact, is often harder than an uphill marathon.",3.945933446957794,879
He claims it may seem unrealistic only because little effort has been devoted to the concept.,A person is burning cameras.,0.713425621659152,68
Some villages had histories and thus names going back to Ancient Roman times.,A man and a woman in glasses blow bubbles.,4.004373792646663,980
"Mahmud controlled access to Saddam for everyone but immediate family members, Pentagon officials said.",A helicopter flies over water.,1.253349238513247,1117
Intrinsic reward is the emotional pay-off that you get by completing an activity.,A herd of elephants are walking along a trail.,2.402123567234372,1486
Egyptians vote to pick president for first time,I agree with Lauren's answer: You need highs and lows in any story.,1.492818155474477,326
Two dogs in the snow,Two Asian men are gathering materials for their business and their child had to come with them.,3.242990152088001,979
"The two-year note US2YT=RR fell 5/32 in price, taking its yield to 1.23 percent from 1.16 percent late on Monday.","While the 'first-past-the-post system favours two parties, it certainly doesn't guarantee the marginalization of third parties.",2.516776609566225,987
Public employees can unionize because the law allows them to.,Two men walk toward a dome-shaped building.,2.019305036458258,1446
Those expressions could have slightly different meanings especially when talking about finance.,"US Airways Flight 5481, which crashed Jan. 8, was judged to be within 100 pounds of its maximum takeoff weight.",0.393400703060244,1380
A man jumping his dirt bike.,"Russia, China veto UN resolution on Syria killings",1.54242523878653,498
A black and white horned cow standing in a field.,A man on a boat getting ready to pull in his net to see what he caught.,1.847895042411408,855
China yuan weakens to 6.1559 against USD,The team in blue is playing a game against the team in white,0.478607183138933,406
The lady cracked an egg for the mixer.,A woman is grating an orange food.,4.923279679373734,876
Hospital: 61 killed in Venezuela prison riot,I agree with others that tracking your time is fundamental to the solution.,4.224960423345464,34
Australia cuts rates to record low,"The technology-laced Nasdaq Composite Index <.IXIC> climbed 19.11 points, or 1.2 percent, to 1,615.02.",1.975822693101193,15
Greek police arrest German on suspicion of spying,Two men in fleeces and hats looking at the camera.,3.017188811464518,932
How could be you so sure that the fish died a natural death.,"According to the State Department list, about 25 nations have signed bilateral agreements in the past four months, about half in the past three weeks.",0.977639837498433,343
A woman is cutting an onion.,A black and white photo of a man standing next to a bus.,3.575410971729717,109
Syrian envoy to Cyprus defects to Qatar,Here is my answer to a similar question posted on the physics stack exchange website.,3.508887001364287,698
"The shares represent more than half the 115.9 million shares Turner held at the end of April, according to Bloomberg data.","As with the definition of Palestine, the definition of Israel varies depending on whom you ask.",4.962689519835677,1037
Two brown dogs chase each other in the snow.,'Housewives' actress Kathryn Joosten dies at 72,1.163067642249914,860
A woman is peeling an orange.,A man is beating two eggs in a bowl with a fork.,0.238013714972818,723
The two men are wearing jeans.,US Says Chemical Weapons Used in Syria,4.531112819624706,1307
School officials said Van-Vliet reported the accident using the bus’ radio.,A man is playing a piano.,4.164561135454534,424
Looks like you've rediscovered Jaspers's concept of the Axial Age.,"South Africa's Nobel laureate Archbishop Desmond Tutu says he does not understand all the fuss about appointing a gay bishop, but he has urged homosexual clergy to remain celibate.",0.258048102321015,1089
"Given that the amount of shedding is normal, I don't think there's anything you can do to lessen it.",Hundreds dead or injured in China quake,1.178398169502445,72
Blond woman in a tunnel.,A woman is working as a nurse.,0.271130729691943,28
A group of people in boats racing towards the shore.,Also at increased risk are those with suppressed immune systems due to illness or medicines.,0.157089287262835,1311
A woman is dancing.,A convicted killer and two other inmates cut through two fences topped with razor wire and escaped from a state prison on a busy street.,3.238241202558373,486
Iran says it captures drone; U.S. denies losing one,A silver AreoMexico Jet Liner sitting on the tarmac.,2.514786234858717,1461
The young adult are cold,Select images from Bangladesh building collapse,2.79858375366152,161
Protests after George Zimmerman acquitted in Trayvon Martin case,There are three main factors that drive the low shadow economy in the US.,0.297034256419466,72
Two blasts hit Syria capital,A man practices boxing,2.122494431599764,288
"But price declines have remained below 30 percent, year over year, for the last two quarters, said IDC analyst John McArthur.",A man sliced a plastic bottle with a sword.,0.180026378900136,36
"I don't have direct experience with bettas, but I've never heard that pairs will work long-term in any male/female combination.","Axelrod died in his sleep of heart failure, said his daughter, Nina Axelrod.",4.929158183144678,486
Thai government says elections Feb. 2,I'd say you need to distract yourself from the bigger picture.,0.098288636317078,861
The bank's shares fell 45 cents in trading yesterday to $91.51 per share.,Would you be concerned with the mind changing if he wasn't shouting and/or misbehaving?,3.388933203579666,274
"""I started crying and yelling at him, 'What do you mean, what are you saying, why did you lie to me?'""",Greece looks set for repeat election,1.944104340871046,343
"De Blasio sworn in as New York mayor, succeeding Bloomberg",A motorcycle is parked by a mural of a city in the evening.,4.016970071943328,1145
An animal is chewing on something.,12 killed in bus accident in Pakistan,1.228438953301147,163
"But in the end, all the worm did was visit a pornography site, said Vincent Weafer, a security director with Symantec Security Response in California.",A tiger walks around aimlessly.,2.785539037941255,1125
A man is buttering a piece of bread.,"Here's what I saw with my fraternal twins: While learning to speak, all children develop some of their own dialect.",2.173395560354619,800
"For fiction, I have little proof to show of blogs being published as print and/or ebooks.",There is no clear successor for Mr. O'Neill at Hyundai.,1.217722042840552,285
"""It's a major victory for Maine, and it's a major victory for other states.",The man and woman are walking.,0.717676673359082,739
There are a lot of push up variations you can do and they all stress different muscle systems.,A woman is slicing carrot.,4.142605825262818,588
"About 25 governments have signed in the last four months, about half of those in the last three weeks.",Wall Street moved tentatively higher Tuesday as investors weighed a trio of reports showing modest economic improvement against an urge to cash in profits from Monday's big rally.,0.059655205162817,1481
A man is eating food.,The children want to swim.,0.956356865879263,1278
A woman is in the bathroom.,A man is watching three asian kids dance.,3.998914472507853,392
A man is cutting a potato.,"I noticed you said ""movie critics"" enjoy mythological references in a film, but do audiences?",2.137389188161759,382
The man used a sword to slice a plastic bottle.,"In Texas, public watchdog groups opposed Mr. Bush's efforts to house his papers at his father's presidential library, where they would have remained secret for a half-century.",3.907756212428066,307
If the number of fours hit by two teams are also equal then both teams will get 1 point each.,"On Thursday, a Post article argued that a 50 basis point cut from the Fed was more likely.",2.468739581861547,398
"""The grass family is one of the most widely distributed and abundant groups of plants on Earth.",A man is climbing a rope.,3.350862778161838,1344
Two people are walking by the ocean.,Pakistan holds landmark election as 29 killed in attacks,2.098247392339707,482
The woman had brown hair.,Spitz is expected to testify later for the defense.,0.814261145915968,1249
It's pretty difficult to imagine a person with Social Anxiety Disorder being an extrovert.,A young girl wearing a bike helmet with a bicycle in the background.,3.077096470939195,934
