answer,question
"[""Arunachal Pradesh""]",what is the location of mars in the solar system
"[""March 9, 2018""]",where is area code 608 in united states
"[""Samuel Beckett""]",who played michael myers in the rob zombie halloween movie
"[""Amalie Arena in Tampa""]",who does woody harrelson play in hunger games
"[""1998""]",who does jason sudeikis play on the cleveland show
"[""Team Leader (TL)""]",what part of paris is notre dame in
"[""pyramidion""]",who was the actress in breakfast at tiffany's
"[""1967""]",where was it came from outer space filmed
"[""ArmaLite Rifle""]",what type of epithelial tissue forms the lining of the stomach
"[""1988""]",when did the war of spanish succession end
"[""\""Journey's End\""""]",after hindi which is the most spoken language in india
"[""Twenty-seven""]",when was around the world in 80 days published
"[""countries that ratified the convention""]",who played the beast in the live-action beauty and the beast
"[""1967""]",who are the democrats running for governor in tennessee
"[""six""]",where was the airport scene in dumb and dumber filmed
"[""Bernard of Chartres""]",starship nothing's going to stop us now film
"[""pyramidion""]",who does the voiceover for thomas the tank engine
"[""Stephen Collins Foster""]",who plays young jane in jane the virgin
"[""Jason Michael Lee""]",who translated the song we shall overcome in bengali
"[""Betsy Sodaro""]",who played the penguin in the original batman
"[""Joseph Smith""]",who won the most states in the 2016 presidential election
"[""Amalie Arena in Tampa""]",where does the heart's electrical stimulus originate from
"[""Nathan Mack""]",what is the currency of papua new guinea
"[""Adam Wainwright""]",who is the chief of staff at the white house
"[""Marvin Gaye""]",who wrote the poem twinkle twinkle little star
"[""Molt Taylor""]",where did the atomic bomb drop on hiroshima
"[""Sykes""]",when did season one of series of unfortunate events come out
"[""Madhubala""]",who played dr zira in planet of the apes
"[""April 28, 2017""]",when does the seal team come on tv
"[""A concerto""]",cast in the hand that rocks the cradle
"[""in some cities in Mexico"",""southern France"",""Pamplona""]",where did the loaves and fishes come from
"[""Lieder""]",when is the last episode of the fosters season 5
"[""2017""]",who is developing life is strange before the storm
"[""71%""]",who wrote the song blowin in the wind
"[""Jimmie Johnson""]",most points by a player in nba season
"[""Lumi Cavazos""]",what was the cat called in hong kong phooey
"[""Miguel Cabrera""]",who directed the musical episode of grey's anatomy
"[""alternating current/direct current""]",where will the commonwealth games be held in 2018
"[""Yann Martel""]",who has ultimate authority at a race meeting
"[""Belgium""]",who controlled vietnam during the late 1800s to 1954
"[""18""]",who plays karma on how i met your mother
"[""William Strickland""]",how many nfl championships did the packers win
"[""20""]",what weight is conor mcgregor and mayweather fighting at
"[""August 31, 2010""]",what actor played dave in alvin and the chipmunks
"[""August 16, 1896""]",who wrote screenplay for a wrinkle in time
"[""St. Louis Cardinals"",""San Francisco Giants""]",when does the champions league group stages start
"[""Gayla Peevey""]",how many episodes are in star wars the clone wars season 1
"[""2015""]",what channel is in conversation with john bishop on
"[""Jason Michael Lee""]",who said stand on the shoulders of giants
"[""68""]",when was the last time liverpool were in a champions league final
"[""8 July 2000""]",who plays the trans guy on the fosters
"[""Dash""]",when did the british empire reach its peak
"[""Eli Marienthal""]",who wrote no place i'd rather be
"[""2018""]",in law the main reason for complaint or accusation
