Main & College streets	Not riot-related
3100 Rosecrans Ave.	Homicide
Rosecrans & Chester avenues	Officer-involved shooting
1600 W. 60th St.	Death
4404 S. Western Ave.	Officer-involved shooting
Harbor Freeway near Slauson Avenue	Death
2740 W. Olympic Blvd.	Homicide
Vermont & Leeward avenues	Homicide
Santa Monica Boulevard & Seward Street	Death
Vermont Avenue & 43rd Street	Homicide
5800 block of South Vermont Avenue	Homicide
3500 block of Winslow Drive	Not riot-related
614 S. Locust Ave.	Not riot-related
Slauson & 7th avenues	Homicide
7608 S. Compton Ave.	Homicide
Braddock Drive & Inglewood Boulevard	Homicide
1005 S. Fresno St.	Not riot-related
10700 block of Burin Avenue	Officer-involved shooting
12834 Vanowen St.	Homicide
2034 W. Pico Blvd.	Not riot-related
Holt & Loranne avenues	Homicide
Lemon Avenue & Pacific Coast Highway	Homicide
Avalon Boulevard & Slauson Avenue	Death
Central Avenue & 112th Street	Officer-involved shooting
1439 E. Walnut	Homicide
Main & 51st streets	Death
11322 Alvaro St.	Officer-involved shooting
Willowbrook Avenue & Alondra Boulevard	Homicide
Hobart Boulevard & 3rd Street	Homicide
16th Street & Central Avenue	Homicide
1800 block of East New York Drive	Homicide
near North Los Robles Avenue & Claremont Street	Officer-involved shooting
Avalon Boulevard & 102nd Street	Homicide
Florence Avenue & Cimarron Street	Homicide
120th Street & Central Avenue	Homicide
2137 E. 115th St.	Not riot-related
1601 S. Western Ave.	Homicide
Western Avenue & 92nd Street	Homicide
San Pedro & 78th streets	Homicide
Florence Avenue & Flower Street	Officer-involved shooting
4028 Santa Monica Blvd.	Homicide
12732 Bess St.	Not riot-related
11690 Gateway Blvd.	Homicide
Pico Boulevard & Vermont Avenue	Officer-involved shooting
2882 W. 9th St.	Homicide
3100 block of South Main Street	Homicide
San Diego Freeway & San Fernando Mission Boulevard	Not riot-related
Vermont Avenue & Santa Monica Boulevard	Homicide
2600 block of Florence Avenue	Homicide
4365 S. Vermont Ave.	Homicide
5213 Sunset Blvd.	Homicide
5510 W. Sunset Blvd.	Homicide
San Fernando Road & San Fernando Mission Boulevard	Not riot-related
5100 block of West Slauson Avenue	Homicide
11932 Cometa Ave.	Homicide
10621 Sepulveda Blvd.	Homicide
Gage & Western avenues	Death
