sentence1,sentence2,label,idx
The city councilmen refused the demonstrators a permit because they advocated violence.,The mouse was too cautious.,0,5
I couldn't put the pot on the shelf because it was too high.,The sheep ended up looking more like golfers.,0,28
"Sam took French classes from Adam, because he was known to speak it fluently.",Sam would have gotten a lot of money.,1,44
"Papa looked down at the children's faces, so puzzled and sad now. It was bad enough that they had to be denied so many things because he couldn't afford them.",He could not help Larry now.,1,31
"Bernard, who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him.",I couldn't hear the subway.,0,31
The delivery truck zoomed by the school bus because it was going so slow.,Ann told her about it.,0,11
John was doing research in the library when he heard a man humming and whistling. He was very annoying.,I couldn't hear the subway.,0,22
The drain is clogged with hair. It has to be removed.,The sheep ended up looking more like golfers.,1,55
The delivery truck zoomed by the school bus because it was going so slow.,This afternoon the wind knocked The sand castle down.,0,37
"There is a pillar between me and the stage, and I can't see around it.",The cat waited at the top.,0,68
The drain is clogged with hair. It has to be removed.,The school bus was going so slow.,0,42
"Papa looked down at the children's faces, so puzzled and sad now. It was bad enough that they had to be denied so many things because he couldn't afford them.",The spot under the tree was hot.,0,66
Mr. Taylor was a man of uncertain temper and his general tendency was to think that David was a poor chump and that whatever step he took in any direction on his own account was just another proof of his innate idiocy.,The sponsors were very much in the majority.,0,9
The drain is clogged with hair. It has to be removed.,He opened his eyes when the wind stopped.,1,67
I can't cut that tree down with that axe; it is too thick.,Bernard was less than 21 when he filed for a homestead claim.,0,16
"Alice looked for her friend Jade in the crowd. Since she always wears a red turban, Alice spotted her quickly.",She saw that Emma was open.,1,1
No one joins Facebook to be sad and lonely. But a new study from the University of Wisconsin psychologist George Lincoln argues that that's exactly how it makes us feel.,Anyone who knew that he was 19 years old could take his claim away from anyone.,1,34
Jane knocked on Susan's door but she did not answer.,Mary had forgotten.,1,63
"If the con artist has succeeded in fooling Sam, he would have gotten a lot of money.",Anyone who knew that he was 19 years old could take his claim away from anyone.,1,53
Look! There is a minnow swimming right below that duck! It had better get away to safety fast!,We should make fewer of the oatmeal cookies.,1,6
"George got free tickets to the play, but he gave them to Eric, even though he was particularly eager to see it.",This afternoon the wind knocked The sand castle down.,1,12
"When Tommy dropped his ice cream, Timmy giggled, so father gave him a stern look.",Fred is a remarkable man.,0,38
"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because it was hot.",The lawyer was reluctant to repeat it.,1,53
"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because it was hot.",He no longer requires Chester's financial support.,1,0
"When Tommy dropped his ice cream, Timmy giggled, so father gave him a stern look.",The cat was too cautious.,1,59
Emma did not pass the ball to Janie although she was open.,He couldn't afford the children.,1,23
"Alice looked for her friend Jade in the crowd. Since she always wears a red turban, Alice spotted her quickly.",The pot was too high.,1,5
"I tried to paint a picture of an orchard, with lemons in the lemon trees, but they came out looking more like light bulbs.",This afternoon the wind knocked The sand castle down.,1,68
