sentence,label,idx
"characters still need to function according to some set of believable and comprehensible impulses , no matter how many drugs they do or how much artistic license avary employs .",1,629
"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .",0,607
the emotions are raw and will strike a nerve with anyone who 's ever had family trauma .,0,139
"combining quick-cut editing and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video .",1,277
it provides an honest look at a community striving to anchor itself in new grounds .,1,107
"care deftly captures the wonder and menace of growing up , but he never really embraces the joy of fuhrman 's destructive escapism or the grace-in-rebellion found by his characters .",0,796
"so much facile technique , such cute ideas , so little movie .",1,158
"you 'll gasp appalled and laugh outraged and possibly , watching the spectacle of a promising young lad treading desperately in a nasty sea , shed an errant tear .",0,821
"an absurdist comedy about alienation , separation and loss .",0,810
"crackerjack entertainment -- nonstop romance , music , suspense and action .",0,280
"forced , familiar and thoroughly condescending .",0,45
a rewarding work of art for only the most patient and challenge-hungry moviegoers .,0,438
it treats women like idiots .,0,112
it 's hard to imagine alan arkin being better than he is in this performance .,1,112
"warm water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality .",0,801
"first-time writer-director serry shows a remarkable gift for storytelling with this moving , effective little film .",1,316
"inside the film 's conflict-powered plot there is a decent moral trying to get out , but it 's not that , it 's the tension that keeps you in your seat .",0,58
"it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface .",0,121
"it showcases carvey 's talent for voices , but not nearly enough and not without taxing every drop of one 's patience to get to the good stuff .",1,459
"good film , but very glum .",1,42
funny but perilously slight .,1,428
it 's a buggy drag .,0,491
"still , as a visual treat , the film is almost unsurpassed .",0,238
"for starters , the story is just too slim .",1,160
( a ) n utterly charming and hilarious film that reminded me of the best of the disney comedies from the 60s .,0,157
"his comedy premises are often hackneyed or just plain crude , calculated to provoke shocked laughter , without following up on a deeper level .",0,853
old-form moviemaking at its best .,1,642
"in the end , the movie collapses on its shaky foundation despite the best efforts of director joe carnahan .",0,89
this is n't even madonna 's swept away .,0,702
a giggle a minute .,0,767
so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises,1,477
the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation .,1,186
"it provides the grand , intelligent entertainment of a superior cast playing smart people amid a compelling plot .",1,205
the structure the film takes may find matt damon and ben affleck once again looking for residuals as this officially completes a good will hunting trilogy that was never planned .,1,67
a romantic comedy enriched by a sharp eye for manners and mores .,0,290
