question,answer
who argued with congress during the early years of reconstruction,"[""Hawthorne Abendsen""]"
where did france colonize in the new world,"[""Cole Porter"",""Virginia Bruce""]"
who was fighting in the battle of amiens,"[""Andhra Pradesh""]"
what time period is a league of their own,"[""António Guterres""]"
in humans what determines the gender of the offspring,"[""Morten Andersen""]"
minimum age limit for chief justice of india,"[""Blue""]"
what is the song shine bright like a diamond about,"[""PlayStation 4"",""Xbox One""]"
what was the last episode of inspector morse,"[""Prudential plc"",""Pakistan"",""India and Pakistan"",""India""]"
who sampled rick james give it to me baby,"[""Leo""]"
statue coming out of the ground in washington dc,"[""Salzburg, Austria"",""Austria""]"
who played the most seasons in nfl history,"[""Chennai"",""West Bengal"",""Pondicherry"",""Odisha"",""Visakhapatnam"",""Andhra Pradesh""]"
which console to get red dead redemption 2,"[""Lennart Thy""]"
in humans what determines the gender of the offspring,"[""12""]"
when did the water bottle flip challenge start,"[""customers of financial institutions""]"
what are the nfl channels on sirius xm radio,"[""Rabindranath Tagore""]"
the predictable order of changes in communities after a change occurs,"[""\""Starry Night\"""",""Starry Night"",""\""Honesty Night\""""]"
the last time la dodgers won the world series,"[""Little Anthony & the Imperials""]"
one who signals train to start or stop,"[""much of eastern North America"",""a number of Caribbean islands"",""in South America""]"
when did rolex daytona stop using zenith movement,"[""San Fernando Valley"",""The San Fernando Valley""]"
what are the three types of wind turbines,"[""Mark""]"
who won her first tennis grand slam in 2018,"[""waistcoat""]"
who won the first season of the rap game,"[""Stacy Haiduk""]"
when the united states entered world war 1 it joined what powers,"[""\""The Remorseful Day\"""",""The Remorseful Day""]"
who is the security general of the un,"[""Allies"",""allied powers""]"
what are the nfl channels on sirius xm radio,"[""April 6, 1830"",""western New York""]"
what do you call a vest in the uk,"[""George Washington"",""Thomas Paine""]"
what does the valley mean in los angeles,"[""bill of attainder""]"
what is the italian word musicians use to describe playing a stringed instrument with a bow,"[""Ecological succession""]"
the states which are bounded by the bay of bengal,"[""1988"",""1943""]"
where do we find globular clusters in the galaxy,"[""12""]"
who plays the medical examiner on hawaii five-o,"[""Lego tire"",""Lego""]"
name of the bird in the lion king,"[""2013""]"
list of longest running tv shows in india,"[""provides region-free features""]"
when was harry potter and the deathly hallows part 2 movie released,"[""waistcoat""]"
who were the sponsor of the icc world cup when it was hosted outside england for the first time,"[""Council of Europe""]"
what was the last episode of inspector morse,"[""Abhhishekam"",""Rannaghor"",""Rasoi Show"",""Olimayamana Ethirkaalam"",""Didi No. 1"",""Munshi"",""Star Mahila""]"
the official u.s. poverty line is based on the cost of what,"[""Lego tire"",""Lego""]"
what is the meaning of the name vinay,"[""Prudential plc"",""Pakistan"",""India and Pakistan"",""India""]"
where did france colonize in the new world,"[""António Guterres""]"
who is covered by the right to financial privacy act,"[""waistcoat""]"
