id,question,choices,answerKey
1,A female opossum can give birth to 5-15 offspring. What increases with a larger litter?,1,C
2,Which of these animals is most likely to be found living and feeding on the forest floors of Virginia?,2,A
3,Which property of a mineral can be determined just by looking at it?,3,B
4,Which two systems are involved when waste and water are removed from blood as it flows through the kidneys?,4,A
5,Which nongaseous compound can be made from two elements that are gases at room temperature?,5,D
6,An old T-shirt can be ripped into smaller pieces and used as rags. An empty milk jug can be used to water houseplants. Both of these are examples of how,6,B
7,The Moon orbits Earth at a speed of approximately one kilometer per second. The Moon is kept in orbit by which of the following?,7,C
8,The drag of wind results in which feature of ocean surface currents?,8,A
9,Which would a scientist use in trying to model the cause of planetary years?,9,D
10,Which action has most helped scientists find cures to some diseases?,10,A
11,Which process in plants is most similar to sexual reproduction in vertebrates?,11,B
12,Read the description of the experiment below to answer the question. One hundred pea seeds were put in petri dishes and covered with wet paper towels. The petri dishes were then put inside black plastic bags. Half of them were placed in an incubator set to 10°C. The remaining half were placed in an incubator set to 30°C. This experiment was most likely designed to study the effect of which variable on the germination of pea seeds?,12,B
13,Which upgrade to a school will most likely reduce the school's consumption of nonrenewable resources?,13,D
14,The liver converts glucose to glycogen for storage. Why is this function considered a chemical change?,14,B
15,Which list gives the correct order of substances from the lowest melting point to the highest?,15,A
16,"If a new moon occurred on June 2, when will the next new moon occur?",16,B
17,Which of these is found in all organisms?,17,C
18,Which mechanism is not an example of a negative feedback mechanism in the human body?,18,C
19,The Milky Way is a part of 30 or more galaxies called the Local Group. Which would be the most likely reason these galaxies are considered to be part of the Local Group?,19,B
20,What best explains why some cooking pans have rubber handles?,20,B
21,What is the greatest contributor to air pollution in the United States?,21,B
22,James put some water in a pan. He put the pan on a stove and turned the stove on low. What will happen to the water?,22,D
23,A rabbit population has increased noticeably in the past ten years. Which of the following is a reasonable hypothesis for this population growth?,23,B
24,What should be done when the results of an experiment do not support the hypothesis?,24,A
25,Scientists who disagree with the results of an experiment should,25,B
26,"When a button is pushed on a battery-operated clock, the time display is illuminated. What process has taken place?",26,3
27,"Because water can hold a large amount of heat, which effect do oceans have on nearby land areas?",27,C
28,Which action has most helped scientists find cures to some diseases?,28,C
29,Which of the following has the greatest mass?,29,D
30,"In the 1500s, Nicolaus Copernicus proposed a new theory on the heliocentric structure of the solar system. Which of these statements best describes this new theory?",30,A
31,"Some people suffer from a condition called carpal tunnel syndrome that causes pain in the wrists. Carpal tunnel syndrome can result from repetitive actions of the wrists and hands, such as typing on a computer keyboard. This is an example of using technology in spite of its",31,A
32,Which of these is an element?,32,C
33,A fox gave birth to an offspring that had a better sense of hearing than most foxes. How could this small change most likely result in descendants that are different from the original fox?,33,D
34,Which of these is the most likely effect of cutting down large numbers of trees?,34,C
35,Light is refracted the least when passing through a,35,D
36,The classification of some organisms has changed. Which new process is used to reclassify organisms?,36,B
37,"A student pushes a shopping cart filled with groceries. The cart has a mass of 12 kilograms (kg). The student pushes the cart with a force of 15 newtons (N). Assuming the ground is frictionless, how fast will the cart accelerate until the student stops applying the force?",37,D
38,A sign that an apple tree is going to start growing apples is when the tree has ___.,38,D
39,"When oil and water are mixed together, they form a",39,D
40,"When oil and water are mixed together, they form a",40,D
41,Which statement describes how muscles work to allow a person to extend an arm from a curled position by straightening the elbow?,41,A
42,"In a lab investigation, students use Brand X batteries in a flashlight and Brand Y batteries in a radio. After two hours, the flashlight stops working, but the radio continues to work. As a result, the students conclude that Brand Y batteries last longer. Which statement about the conclusion of the investigation is most accurate?",42,D
